tid,pair,dir,raw_dir,composite,d_cert,m_cert,expected,vol_regime,m5_volume,spread_pips,h1_ret_aligned,peak_pips,exit_net,session,atr_5m,atr_1h,atr_d,atr_conc,atr_h1_relative,wall_frac,trend_4h_pips,htf_pct_20,htf_pct_60,rvol_5bar,rvol_12bar,rsi14_m5,rsi14_h1,bb_pos_h1,ema20_dist_pct,ema50_dist_pct,ret_5m_aligned,ret_15m_aligned,ret_30m_aligned,adx14_h1,adr_consumed
8938,GBP_USD,short,-0.2623,-0.0870,0.4780,0.6940,14.3000,normal,91,1.8000,-4.8000,2.4000,-6.2500,ny,4.16,23.94,81.14,4.918,7.082,2.91,-16.6,0.1,0.05,0.12,0.12,60.4,23.1,-0.56,-0.34,,2.3,0.3,3.8,75.6,1.71
8941,EUR_USD,short,-0.3124,-0.1170,0.3910,0.9580,8.3000,normal,158,1.6000,-0.0000,0.0000,-4.0000,ny,2.56,16.12,64.14,3.827,6.032,2.11,-7.8,0.1,0.12,0.37,0.36,56.1,24.2,-0.53,-0.244,,0.6,3.1,4.4,54.2,1.23
8944,USD_CAD,long,0.2773,0.0980,0.3910,0.9040,10.0000,normal,332,2.7000,0.4000,0.0000,-5.7000,ny,3.28,14.78,59.62,5.279,5.949,2.1,-0.3,0.75,0.86,0.87,0.83,55.0,69.2,0.53,0.152,,0.9,0.0,4.9,40.4,0.87
8955,AUD_JPY,short,-0.2700,-0.0510,0.3660,0.5160,36.3000,normal,361,2.3000,14.7000,10.3000,3.5000,asia,3.74,20.24,75.78,4.733,6.411,11.32,-31.5,0.95,0.81,1.2,1.89,19.7,59.7,-0.22,-0.061,,0.6,3.8,8.0,1.4,0.74
8961,USD_JPY,short,-0.3372,-0.0920,0.4770,0.5720,36.1000,normal,1463,1.5000,19.4000,12.4000,8.5500,asia,5.2,24.09,61.75,8.084,9.364,12.73,-28.5,1.0,0.96,2.79,4.18,22.2,55.9,0.03,0.023,,5.8,8.4,10.6,11.6,0.88
8964,AUD_JPY,short,-0.3930,-0.0510,0.4860,0.2670,37.6000,normal,444,2.5000,14.7000,8.5000,3.8000,asia,4.33,20.24,75.78,5.484,6.411,10.1,-31.5,0.95,0.81,1.34,2.16,20.5,59.7,-0.22,-0.1,,-0.4,4.4,7.4,1.4,0.74
8972,USD_JPY,short,-0.4006,-0.1240,0.5100,0.6070,37.0000,normal,1010,1.7000,19.4000,7.4000,1.6000,asia,6.1,24.09,61.75,9.483,9.364,9.57,-28.5,1.0,0.96,1.75,2.7,15.8,55.9,0.03,-0.031,,3.9,11.8,17.2,11.6,0.88
8981,AUD_JPY,short,-0.3153,-0.0590,0.4050,0.4620,27.3000,normal,617,2.1000,5.0000,5.2000,3.5500,asia,5.65,20.21,75.78,7.158,6.4,6.73,-27.3,0.95,0.81,1.33,2.4,22.4,59.0,-0.34,-0.136,,-1.4,9.4,5.3,3.0,0.74
8984,AUD_USD,short,-0.2790,-0.0930,0.3840,0.8680,12.5000,normal,162,1.3000,7.4000,5.1000,2.9500,asia,2.29,10.25,54.31,4.04,4.529,2.76,-10.0,0.55,0.42,0.78,1.25,37.1,51.3,-0.65,-0.159,,2.0,3.2,8.5,24.0,0.63
8990,AUD_JPY,short,-0.3748,-0.0670,0.4560,0.3920,25.5000,normal,653,2.2000,5.0000,4.5000,3.0000,asia,5.64,20.21,75.78,7.14,6.4,6.32,-27.3,0.95,0.81,1.19,2.17,28.2,59.0,-0.34,-0.158,,-3.8,0.0,3.3,3.0,0.74
