tid,pair,dir,raw_dir,composite,d_cert,m_cert,expected,vol_regime,m5_volume,spread_pips,h1_ret_aligned,peak_pips,exit_net,session,atr_5m,atr_1h,atr_d,atr_conc,atr_h1_relative,wall_frac,trend_4h_pips,htf_pct_20,htf_pct_60
8802,EUR_JPY,short,-0.5479,-0.2750,0.6460,0.7770,24.1000,normal,2205,2.5000,8.4000,6.0000,-12.7000,london,8.0,18.64,91.11,8.43,4.909,2.09,-38.2,0.6,0.55
8805,AUD_JPY,short,-0.3676,-0.0510,0.4640,0.2990,19.4000,normal,792,2.4000,-6.6000,4.6000,-13.7000,london,5.64,14.94,75.78,7.149,4.733,2.27,-12.8,0.95,0.81
8810,EUR_USD,short,-0.3951,-0.0510,0.4610,0.2800,12.0000,normal,542,1.6000,5.8000,19.6000,9.6500,london,4.54,11.83,64.14,6.788,4.426,6.68,-34.0,0.1,0.12
8813,GBP_USD,short,-0.3840,-0.0550,0.4650,0.3080,12.4000,normal,778,1.7000,10.3000,26.7000,15.5500,london,7.28,17.39,81.14,8.611,5.144,6.06,-82.9,0.1,0.05
8823,USD_CHF,long,0.4308,0.1250,0.4910,0.5910,9.8000,normal,298,1.5000,11.9000,17.9000,10.9500,london,4.13,10.11,59.24,6.69,4.095,8.09,48.9,0.85,0.95
8843,EUR_USD,short,-0.3445,-0.0620,0.4580,0.3930,13.2000,normal,651,1.6000,3.3000,9.5000,-13.0000,london,4.79,12.41,64.14,7.163,4.642,2.38,-55.8,0.1,0.12
8847,USD_CHF,long,0.4786,0.0960,0.5480,0.3660,13.3000,normal,301,1.5000,9.2000,9.2000,-11.5000,london,4.54,10.75,59.24,7.361,4.355,4.75,47.6,0.85,0.95
8854,EUR_JPY,short,-0.2774,-0.0370,0.3900,0.3420,20.4000,normal,1068,2.5000,-12.9000,0.0000,-10.2000,london,6.35,20.26,91.11,6.691,5.338,1.75,-11.0,0.6,0.55
8859,AUD_JPY,long,0.2898,0.0450,0.4450,0.3490,19.4000,normal,969,2.5000,20.4000,16.8000,3.6000,london,4.72,16.28,75.78,5.981,5.156,7.48,16.6,0.95,0.81
8866,USD_JPY,long,0.5132,0.1760,0.6190,0.5540,15.2000,normal,731,1.6000,6.0000,24.6000,17.8500,ny,8.09,16.13,61.75,12.571,6.269,4.87,55.8,1.0,0.97
8869,USD_CAD,long,0.3175,0.0790,0.5110,0.4870,10.8000,normal,553,1.6000,-6.4000,6.6000,4.6500,ny,4.09,13.81,59.62,6.59,5.558,2.08,20.0,0.75,0.86
